gene,logFC,pVal,FDR
H19,5.993700278925783,0.0,0.0
Lgals1,5.658630459382575,0.0,0.0
Hspb1,5.629561425283878,0.0,0.0
Tpm1,5.626598300609078,0.0,0.0
Ifitm3,5.581010857610121,0.0,0.0
Col4a1,4.892116462965109,0.0,0.0
Anxa2,4.835727193989153,0.0,0.0
Ctsl,4.834370225024205,0.0,0.0
S100a11,4.770676834323635,0.0,0.0
Serpinh1,4.20731095720485,0.0,0.0
Anxa5,4.0915395099011,0.0,0.0
Rbpms,4.015348167349029,0.0,0.0
Klf2,4.9251733259324775,2.0286822537465074e-302,2.8406233126882826e-299
Crip1,4.856640504596627,1.058935336987415e-296,1.3768428527987083e-293
Junb,4.380321620262884,6.425238596716516e-292,7.797241211735382e-289
Myl12a,3.127312612225347,2.294389096499887e-288,2.6102977952242155e-285
Zfp36,4.52755211756559,1.1569070812210565e-282,1.2387752705568759e-279
Rrbp1,3.5595613375709863,3.0959204825753895e-281,3.1308355857955456e-278
Fosb,4.261696447969003,5.064690489475442e-279,4.852240051574814e-276
Mgp,5.763842675282202,6.971219566035562e-279,6.344855488027266e-276
Atf3,4.812630103227741,2.3505092790890475e-278,2.0374438289170443e-275
Ahnak,4.017229897080235,4.26879123824742e-276,3.53203667771899e-273
Col4a2,4.121228683679578,1.6327611030152437e-267,1.275435268129712e-264
Egr1,4.558042489732304,1.6816154719064488e-267,1.275435268129712e-264
Tnnt2,7.382295738779359,1.8051018166352405e-267,1.3143307347284514e-264
Sox11,-5.071877975704762,3.6494026385844065e-265,2.555002931928921e-262
Rtn1,-4.9259654425756265,1.21212929487486e-262,8.171996131335955e-260
Nfkbia,3.893425375008253,6.314714761027779e-261,4.105241171249595e-258
Tubb3,-6.247281364310121,1.6914412388255053e-253,1.0617001679427818e-250
Aldoa,2.965650678836408,1.1537670533668099e-251,7.000673890812014e-249
Arpc1b,3.699535729646655,1.6675936712242608e-251,9.792002450740393e-249
Xist,4.6250091723037015,1.4495325886317288e-249,8.2455755346448e-247
Actc1,7.861737463477613,5.191153350177735e-248,2.8634716494934944e-245
Fstl1,3.9424805916206536,2.9049046556618873e-243,1.5552346896180392e-240
Tubb2b,-4.434921784534614,1.5967797720342035e-237,8.304623482953888e-235
Sparc,5.906711462034851,7.054983475740858e-237,3.5672740058030793e-234
Col3a1,6.538711418812871,2.2444697714422307e-235,1.1042184662044033e-232
Cryab,4.730761667855473,1.9499295402541637e-232,9.340675637170143e-230
Eln,6.508282009660246,1.4431699628042967e-229,6.735903290494003e-227
Ppic,3.5297849720319823,8.710605533408447e-229,3.963978813115849e-226
Cavin1,3.6102667759758216,6.996148528239133e-228,3.1061193087691937e-225
B2m,3.721827588472723,5.2513659895035337e-225,2.2759670263555435e-222
Fn1,4.060721322791326,9.897379323863493e-223,4.189813856564818e-220
Col1a2,6.466946461290355,1.0622089811504347e-222,4.394406837245764e-220
Btg2,3.227071206705795,1.1682425523197682e-216,4.7256709288614985e-214
Myl6,2.0316414004663597,1.3410975255645275e-216,5.306956143011107e-214
Nsg2,-4.502806701137151,8.11772996747379e-215,3.1439795446367105e-212
Tnni1,5.5743281312823445,1.749135043678198e-213,6.633230250015467e-211
Bgn,4.50922422358367,7.62010065030244e-209,2.830789635458272e-206
Tagln2,4.087374233610777,1.2825220807469282e-206,4.669149887167267e-204
Ier3,3.6906501933299873,4.7141646553925525e-204,1.682587043570797e-201
Gata6,3.5877692114590207,6.263711866938184e-204,2.1926605214206878e-201
Basp1,-3.9923077413050265,1.5615330914261714e-203,5.3631295968359615e-201
Socs3,3.8642095055440824,6.57316119958587e-203,2.215763950297437e-200
Tnnc1,6.202798216785151,4.293076350895887e-202,1.4208521602792332e-199
Klf4,3.770263013369293,2.4350922497982642e-199,7.915354325549608e-197
Cebpb,3.9935409967033206,2.6252205088692577e-199,8.383664723324053e-197
Lmna,3.3881116611408,5.431502853101099e-199,1.7046490764655054e-196
Gria2,-5.201101740669002,1.489028610139839e-198,4.594031828877201e-196
Elavl3,-4.442730862678259,1.5416229220674205e-198,4.677027008398876e-196
Timp3,3.6618753216437483,6.67370512837286e-198,1.991499253307724e-195
Tnni3,5.964570080582546,7.540509246179965e-198,2.2138691904550633e-195
Hspg2,3.5024062308849646,1.3259254306367238e-197,3.831082637123855e-195
Txnip,3.1265785805807687,2.680405932044587e-197,7.62366080953244e-195
Ier2,3.1803026250689097,2.27992283035289e-193,6.38483619706364e-191
Itgb1,2.6609553313033554,2.969799448787391e-193,8.190796873678315e-191
Zfp36l1,3.452533621252422,2.4320512605480327e-191,6.607556581456096e-189
Ifitm2,3.0650153672405227,8.504213189450954e-191,2.2765028336408192e-188
Ckm,5.905066096056688,7.760771685947464e-190,2.0473815507145174e-187
Col1a1,6.791407065044846,4.146561750020348e-188,1.0782837647945772e-185
Hspa5,2.4061753107093287,9.886952993626755e-188,2.534819793563209e-185
Igfbp7,4.31771767290787,1.088141551456812e-187,2.7510334251622708e-185
Igfbpl1,-5.393708077818898,1.1454098656485355e-187,2.8561501074520946e-185
Adamts1,3.531344200075487,7.39856594765918e-186,1.819947242503244e-183
Gng11,3.8333609112833593,1.1584449430605502e-183,2.8116231064708265e-181
Myl9,4.599612148226513,8.15239953330858e-182,1.952606956642317e-179
mt-Co1,1.872496745910244,1.0236093573892314e-181,2.4198391081241788e-179
mt-Nd3,1.9310235584265016,9.11936758321601e-180,2.128203180990782e-177
Myl3,6.646769165073808,1.361254412219173e-177,3.136571400712102e-175
Stmn1,-3.2752184389511885,2.215692305279913e-177,5.041530879126282e-175
Clic1,2.6748327974642225,3.396522513908407e-177,7.632950533416634e-175
Myl2,7.424078560546905,1.4079631949748091e-175,3.125506590015421e-173
Cstb,3.241638176843394,1.6506397259442908e-175,3.620071678477581e-173
Myl7,6.882908456413937,1.8514158440971816e-175,4.012062215488214e-173
Stmn3,-4.729299730700118,1.0438856990554074e-174,2.2355119270477155e-172
Cnn2,3.1919201483121906,4.239823657865582e-174,8.974129074898509e-172
mt-Nd5,2.2115969130610287,2.055490788530647e-173,4.300701014209582e-171
Rbms1,3.0586138153648483,4.0693207089057846e-172,8.417482370933182e-170
Fth1,1.8926778264605384,4.9814675416821665e-170,1.0188500411375334e-167
Myh6,5.8209695910510355,8.519477159982061e-170,1.7231115860350384e-167
Dcx,-4.2844602438765556,1.5972236269895022e-169,3.1949738112186716e-167
Itm2a,4.02139386505537,1.7839625841963376e-169,3.529725100013688e-167
Acta2,5.299327745158646,4.2432867715447335e-168,8.305435387357933e-166
Nnat,-4.449350578109102,1.0565039449125446e-167,2.0459086499194734e-165
Gadd45b,3.2856407294076653,1.1522529723204969e-167,2.2078379847526323e-165
