feature,logFC,pVal,FDR
Actc1,8.521194268620688,0.0,0.0
Tnnt2,8.041112174716183,0.0,0.0
Tnnc1,6.859490038732625,0.0,0.0
Tpm1,6.2676456312810584,0.0,0.0
Hspb1,6.177568243940352,0.0,0.0
Lgals1,6.1101212641086295,0.0,0.0
H19,5.475396422826718,0.0,0.0
Cryab,5.371983176727942,0.0,0.0
Col1a2,7.083735343441554,2.55e-321,4.938147e-318
Tnni1,6.222191408627305,1.5227e-320,2.654541e-317
Tnni3,6.61980500967406,6.97067e-319,1.104724994e-315
Mgp,6.095546029102212,3.0721e-318,4.462993545e-315
Col3a1,7.115645118530422,1.0303328e-316,1.3816762823e-313
Ckm,6.559663916357148,3.4490363308922475e-304,4.294789311174611e-301
Col1a1,7.422488944361926,9.15256333935083e-300,1.0637109112993535e-296
Crip1,5.195911133701381,5.36448339078728e-287,5.844939934474666e-284
Anxa2,4.824934224916969,7.753652301066949e-281,7.951142386147067e-278
Eln,7.13830774639583,7.428399904515218e-277,7.194405307522989e-274
Myl7,7.53907842883259,4.14855115793962e-266,3.806404859808494e-263
S100a11,4.531566239837215,1.7943320813442747e-265,1.564029558703737e-262
Myl2,8.082666632321086,4.70560449066738e-264,3.906323956466878e-261
Myl9,5.2219822736109,1.7530553887685598e-262,1.3891370269273772e-259
Serpinh1,4.3829765393988955,5.935960784032552e-262,4.499200189045195e-259
Myh6,6.476646270900554,3.3605826562293933e-259,2.4410432269186255e-256
Myl3,7.303572091224079,1.183653983593739e-258,8.253855958395861e-256
Aldoa,3.342658581265174,3.130230850468151e-254,2.0988197852388953e-251
Fabp3,4.5474622398993665,5.626998969415445e-248,3.6331656679192388e-245
Rbpms,4.063164698816956,2.1525441023560628e-244,1.3401893334419016e-241
Acta2,5.941216797063774,3.240609791483762e-244,1.9480534653426352e-241
Cox6a2,5.770009133242605,8.670439493239826e-244,5.038392389521663e-241
Pln,5.824781896453393,2.4679166125832844e-242,1.3878448486182064e-239
Anxa5,4.009618024970748,1.6868032727407714e-239,9.189387954278084e-237
Csrp3,5.589850492783656,3.2765281169003445e-239,1.7309004443007183e-236
Gata6,4.064253105647192,1.2243860874221923e-236,6.277859606479729e-234
Fosb,4.345995543956541,4.5573575576477534e-236,2.26995469435638e-233
Fstl1,4.242454785859649,4.814817282394357e-235,2.3315752689994674e-232
Atf3,4.933639642443028,5.860320773172351e-229,2.761161406451719e-226
Myh7,6.390444810575894,4.285958056256912e-224,1.966239652492809e-221
Egr1,4.602596906770675,1.6862257806242028e-222,7.537429239390187e-220
Myl12a,3.2114386349604342,4.935706376458235e-219,2.1511042315199102e-216
Klf2,4.547543725444272,9.284292643676865e-218,3.9476359428589947e-215
Ahnak,4.1108630327098306,6.7707901966870334e-217,2.8103615594963107e-214
Chchd10,4.568841363636403,1.1448258315330661e-215,4.6413369118874287e-213
Des,4.5032800738068115,4.169488140548245e-215,1.6519701535040352e-212
Myl4,6.8289349832201465,1.68708149026704e-208,6.535753693294513e-206
Cavin1,3.8158044635360455,3.796186285856191e-206,1.4386720765506735e-203
Bgn,4.758537568735632,1.5630590581347476e-202,5.797618842651714e-200
mt-Nd3,2.2985251116589747,2.2837007056490404e-202,8.294115500329109e-200
Zfp36,4.201125881665461,4.528763923187225e-201,1.6112232953657733e-198
Fxyd1,3.9929150752681215,1.0551812872168169e-200,3.678995076010154e-198
mt-Nd5,2.6357537298299425,8.968903496059835e-200,3.065782247976688e-197
Slc25a4,2.5441415282316604,4.590555180455114e-198,1.5389836242475769e-195
Gsn,4.028774396606234,3.315488612433345e-197,1.0905455279349152e-194
Rrbp1,3.5379526772232235,1.2553802487337077e-195,4.0527859029953194e-193
Col6a1,4.348346829596396,1.3740395461231148e-192,4.3552057104662286e-190
Pgam2,4.653322128700388,1.0292291457471233e-191,3.2040270888945717e-189
Ifitm3,4.206063245206077,1.037063462801883e-189,3.1717767275482857e-187
Col4a1,4.071025664400042,1.0567954957024577e-189,3.17639928906568e-187
Actn2,4.761899011132519,1.9350694972674334e-189,5.717638397603926e-187
Hspb7,4.515602938169614,2.7248531774519467e-188,7.917060907086632e-186
Ankrd1,5.605853317743896,2.2429870321379732e-187,6.410162775616605e-185
Atp2a2,3.28906396923057,4.371802695947241e-187,1.229252199974972e-184
Igfbp7,4.402965271485229,1.6520033293016275e-186,4.5713292126532183e-184
Cebpb,4.298105215597478,6.725682143557945e-185,1.8320127626350883e-182
Junb,3.9670558467061015,1.0597593390968891e-184,2.8422745474578566e-182
Dcn,6.278206479704929,1.7578371469338603e-184,4.643087118560301e-182
Idh2,2.8877405973580563,1.275438795452961e-182,3.318615600168876e-180
Sparc,6.216857428639859,4.598773991192591e-182,1.1789768674773595e-179
Col6a2,4.11486528018196,6.548346374286134e-182,1.654453946998988e-179
Lmna,3.629064375168185,7.616685872881986e-182,1.8968812117421666e-179
mt-Co1,2.14901388364111,5.780836434300587e-181,1.4193988951994667e-178
mt-Nd1,2.1770165321645027,6.834376903523515e-179,1.654773507765631e-176
Gpc3,3.972283014109227,9.126855213408032e-178,2.1795680402101676e-175
Rarres2,4.677665986518066,1.7647052076954296e-175,4.15731160618303e-173
Col5a1,4.064416451129243,1.6408519379345771e-174,3.813996244535131e-172
Smpx,4.618048032789275,6.115658284467202e-174,1.402819353593641e-171
Itm2a,4.36291819153881,1.2694178893890318e-171,2.8739950734699987e-169
Klf4,3.966114272594448,2.4568811934982236e-171,5.49112946746853e-169
S100a6,5.071232308677346,3.9892526582215774e-171,8.803119188705919e-169
Btg2,3.271534904377844,1.1685352265754539e-169,2.546384325611236e-167
Ttn,6.587703681413587,1.2058146352473601e-168,2.5951810538601518e-166
Tubb2b,-4.871791728359647,2.89583749819107e-168,6.156479890971332e-166
Rcn3,3.651265780364855,3.036607369669687e-168,6.377973045235139e-166
Mybpc3,4.53567006865364,1.8707631581112364e-167,3.8825016827801407e-165
Sox11,-5.116423458522603,1.8259612334849893e-166,3.74493908039339e-164
Xist,4.244012271056934,1.0823387172367688e-165,2.1940012625103014e-163
Col5a2,3.883948335711729,2.608656656058372e-161,5.227208216674206e-159
Rtn1,-4.862590914316377,8.357152555117122e-161,1.6555709146972363e-158
Gm12840,4.360992960537288,2.355274797580224e-160,4.613427589462477e-158
Ppic,3.50859869416718,1.8842241478645273e-159,3.6497421744135893e-157
Nppa,7.572922866954995,1.2544284020338198e-157,2.403126410181932e-155
Nexn,3.9447939712044384,5.5749893988144024e-157,1.0563998933644725e-154
Arpc1b,3.499292569371053,1.3288431726621456e-156,2.4909379601095894e-154
Eno3,4.0597674098619905,1.736516957859294e-156,3.220500013442667e-154
Tubb3,-6.1828026470804645,9.654270857246327e-156,1.7716095142565814e-153
Mb,5.220944964180248,1.6450463121744103e-155,2.9873012875142184e-153
Pcolce,3.6058880306043526,2.200718517130394e-155,3.955167619498367e-153
Myl6,2.066435315403085,6.855618912172133e-154,1.2195306581213959e-151
Grb10,3.2247795510679507,7.30963383780335e-154,1.2871600676204626e-151
Adamts1,3.5724428586842985,1.2906680320383118e-153,2.2500215802523892e-151

