node,gene,log2FC,pVal,FDR
1,Mrpl15,3.410740166109145,0.0,2.3870906139597062e-6
1,Tcea1,3.0412213685021134,0.0,2.3870906139597062e-6
1,Atp6v1h,3.6243942195224363,0.0,2.3870906139597062e-6
1,Rb1cc1,3.4017890512629596,0.0,2.3870906139597062e-6
1,Pcmtd1,3.656593523966466,0.0,2.3870906139597062e-6
1,Snhg6,2.624552331606638,0.0,2.3870906139597062e-6
1,Cops5,3.800797917819137,0.0,2.3870906139597062e-6
1,Cspp1,3.442565741453611,0.0,2.3870906139597062e-6
1,Rpl7,2.4899159242163678,0.0,2.3870906139597062e-6
1,Stau2,5.8616686929091015,0.0,2.3870906139597062e-6
1,Ube2w,3.680100527423669,0.0,2.3870906139597062e-6
1,Eloc,3.488387543863396,0.0,2.3870906139597062e-6
1,Tmem70,2.7740945646459436,0.0,2.3870906139597062e-6
1,Smap1,2.4366397304265566,0.0,2.3870906139597062e-6
1,Sdhaf4,4.2615106070876685,0.0,2.3870906139597062e-6
1,Phf3,2.9095168933948634,0.0,2.3870906139597062e-6
1,Ptp4a1,3.079305518755887,0.0,2.3870906139597062e-6
1,Zfp451,4.233032596929125,0.0,2.3870906139597062e-6
1,Dst,3.0250503393804036,0.0,2.3870906139597062e-6
1,Ccdc115,3.53302067452363,0.0,2.3870906139597062e-6
1,Imp4,2.7828250220949773,0.0,2.3870906139597062e-6
1,Fam168b,3.8932988805556574,0.0,2.3870906139597062e-6
1,Kansl3,3.3688089004080375,0.0,2.3870906139597062e-6
1,Lman2l,3.974699020482381,0.0,2.3870906139597062e-6
1,Cox5b,3.339361568792283,0.0,2.3870906139597062e-6
1,Actr1b,2.578896628048517,0.0,2.3870906139597062e-6
1,Tmem131,3.6236468077269883,0.0,2.3870906139597062e-6
1,Unc50,3.228811626574943,0.0,2.3870906139597062e-6
1,Mrpl30,3.564647140620718,0.0,2.3870906139597062e-6
1,Txndc9,3.5475713537877662,0.0,2.3870906139597062e-6
1,Eif5b,2.436402345371534,0.0,2.3870906139597062e-6
1,Pdcl3,3.4179033525674787,0.0,2.3870906139597062e-6
1,Rpl31,2.5621395755833873,0.0,2.3870906139597062e-6
1,Map4k4,3.3735408328887355,0.0,2.3870906139597062e-6
1,Pantr1,8.134073047723122,0.0,2.3870906139597062e-6
1,Pou3f3,5.9459114578004195,0.0,2.3870906139597062e-6
1,Mrps9,3.3090806278407676,0.0,2.3870906139597062e-6
1,Tpp2,2.9935007287539546,0.0,2.3870906139597062e-6
1,Gls,3.2148204280165014,0.0,2.3870906139597062e-6
1,Sf3b1,3.2753840937509824,0.0,2.3870906139597062e-6
1,Hspd1,3.359433518017409,0.0,2.3870906139597062e-6
1,Hspe1,3.0743400587157232,0.0,2.3870906139597062e-6
1,Mob4,3.9135772053124818,0.0,2.3870906139597062e-6
1,Maip1,3.585103709991486,0.0,2.3870906139597062e-6
1,Bzw1,3.1514706624340634,0.0,2.3870906139597062e-6
1,Clk1,3.098522927430327,0.0,2.3870906139597062e-6
1,Ndufb3,3.254561740831971,0.0,2.3870906139597062e-6
1,Sumo1,3.3811837123098623,0.0,2.3870906139597062e-6
1,Nop58,2.5392636061614846,0.0,2.3870906139597062e-6
1,Wdr12,3.034589509633513,0.0,2.3870906139597062e-6
1,Abi2,4.116946381350631,0.0,2.3870906139597062e-6
1,Raph1,1.5181246928160894,0.0,2.3870906139597062e-6
1,Ndufs1,3.5922465920434288,0.0,2.3870906139597062e-6
1,Eef1b2,2.5652376331466273,0.0,2.3870906139597062e-6
1,Klf7,2.985265939455287,0.0,2.3870906139597062e-6
1,Creb1,3.659684130692416,0.0,2.3870906139597062e-6
1,Idh1,4.730960732905536,0.0,2.3870906139597062e-6
1,Map2,7.451311684780963,0.0,2.3870906139597062e-6
1,Lancl1,3.8799230470952715,0.0,2.3870906139597062e-6
1,Rpl37a,2.3673054117834678,0.0,2.3870906139597062e-6
1,Igfbp2,4.247658238549287,0.0,2.3870906139597062e-6
1,Arpc2,2.563604702563025,0.0,2.3870906139597062e-6
1,Aamp,2.9767208408228107,0.0,2.3870906139597062e-6
1,Pnkd,2.827879863547308,0.0,2.3870906139597062e-6
1,Retreg2,3.729499362484895,0.0,2.3870906139597062e-6
1,Stk16,3.5040162284188736,0.0,2.3870906139597062e-6
1,Dnpep,4.049249213813066,0.0,2.3870906139597062e-6
1,Epha4,4.591775944396533,0.0,2.3870906139597062e-6
1,Farsb,3.60610281376473,0.0,2.3870906139597062e-6
1,Cul3,3.131573739237055,0.0,2.3870906139597062e-6
1,Mff,3.134743902190804,0.0,2.3870906139597062e-6
1,Agfg1,2.5534131916048,0.0,2.3870906139597062e-6
1,Trip12,3.1257534604803388,0.0,2.3870906139597062e-6
