cluster,modularity,size
7,3.170402122446965e-2/0.3189028427663806/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,20/30/99/368/755/926/2125/2312
9,1.2376710356889031e-2/3.170402122446965e-2/0.3189028427663806/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,4/10/30/99/368/755/926/2125/2312
10,1.2376710356889031e-2/3.170402122446965e-2/0.3189028427663806/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,6/10/30/99/368/755/926/2125/2312
14,0.1198493090150593/0.23116151680153443/0.15994222733977423/0.3189028427663806/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,6/20/38/69/99/368/755/926/2125/2312
15,0.1198493090150593/0.23116151680153443/0.15994222733977423/0.3189028427663806/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,14/20/38/69/99/368/755/926/2125/2312
17,1.9790018906185133e-2/0.23116151680153443/0.15994222733977423/0.3189028427663806/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,3/18/38/69/99/368/755/926/2125/2312
18,1.9790018906185133e-2/0.23116151680153443/0.15994222733977423/0.3189028427663806/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,15/18/38/69/99/368/755/926/2125/2312
21,1.0273135415369276e-2/0.12828465443180564/0.15994222733977423/0.3189028427663806/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,18/22/31/69/99/368/755/926/2125/2312
22,1.0273135415369276e-2/0.12828465443180564/0.15994222733977423/0.3189028427663806/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,4/22/31/69/99/368/755/926/2125/2312
24,9.058555229823807e-3/0.12828465443180564/0.15994222733977423/0.3189028427663806/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,7/9/31/69/99/368/755/926/2125/2312
25,9.058555229823807e-3/0.12828465443180564/0.15994222733977423/0.3189028427663806/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,2/9/31/69/99/368/755/926/2125/2312
28,2.4739981886282486e-2/9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,26/73/269/368/755/926/2125/2312
29,2.4739981886282486e-2/9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,47/73/269/368/755/926/2125/2312
34,1.2669003567000126e-2/2.0040310630577235e-2/2.9309781471776472e-2/2.6128575199607165e-2/9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,19/37/72/111/196/269/368/755/926/2125/2312
35,1.2669003567000126e-2/2.0040310630577235e-2/2.9309781471776472e-2/2.6128575199607165e-2/9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,18/37/72/111/196/269/368/755/926/2125/2312
37,4.180321388741914e-3/2.0040310630577235e-2/2.9309781471776472e-2/2.6128575199607165e-2/9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,12/35/72/111/196/269/368/755/926/2125/2312
38,4.180321388741914e-3/2.0040310630577235e-2/2.9309781471776472e-2/2.6128575199607165e-2/9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,23/35/72/111/196/269/368/755/926/2125/2312
40,1.1857028233091815e-2/2.9309781471776472e-2/2.6128575199607165e-2/9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,17/39/111/196/269/368/755/926/2125/2312
41,1.1857028233091815e-2/2.9309781471776472e-2/2.6128575199607165e-2/9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,22/39/111/196/269/368/755/926/2125/2312
45,2.0538108556005297e-2/1.4115154180178061e-2/3.659598702857078e-2/2.6128575199607165e-2/9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,21/50/55/85/196/269/368/755/926/2125/2312
46,2.0538108556005297e-2/1.4115154180178061e-2/3.659598702857078e-2/2.6128575199607165e-2/9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,29/50/55/85/196/269/368/755/926/2125/2312
47,1.4115154180178061e-2/3.659598702857078e-2/2.6128575199607165e-2/9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,5/55/85/196/269/368/755/926/2125/2312
49,3.569724881977443e-2/3.659598702857078e-2/2.6128575199607165e-2/9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,13/30/85/196/269/368/755/926/2125/2312
50,3.569724881977443e-2/3.659598702857078e-2/2.6128575199607165e-2/9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,17/30/85/196/269/368/755/926/2125/2312
55,7.010713102078908e-2/0.18671011190782338/1.5209104086882695e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,7/12/22/142/387/755/926/2125/2312
56,7.010713102078908e-2/0.18671011190782338/1.5209104086882695e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,5/12/22/142/387/755/926/2125/2312
58,5.902087034352024e-2/0.18671011190782338/1.5209104086882695e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,4/10/22/142/387/755/926/2125/2312
60,1.0997386316414955e-2/5.902087034352024e-2/0.18671011190782338/1.5209104086882695e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,4/6/10/22/142/387/755/926/2125/2312
61,1.0997386316414955e-2/5.902087034352024e-2/0.18671011190782338/1.5209104086882695e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,2/6/10/22/142/387/755/926/2125/2312
65,1.632979111051701e-2/8.757966341094714e-3/2.4843909104716178e-2/1.5209104086882695e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,18/26/68/120/142/387/755/926/2125/2312
66,1.632979111051701e-2/8.757966341094714e-3/2.4843909104716178e-2/1.5209104086882695e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,8/26/68/120/142/387/755/926/2125/2312
67,8.757966341094714e-3/2.4843909104716178e-2/1.5209104086882695e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,42/68/120/142/387/755/926/2125/2312
70,1.05165051782901e-3/8.973898890159399e-3/2.4843909104716178e-2/1.5209104086882695e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,17/23/52/120/142/387/755/926/2125/2312
