cluster,diversity,size
6,1.0,30
8,1.9889298645598423,38
9,1.468942743263101,31
11,1.9998123504666587,73
15,1.0,37
16,1.0,35
17,1.0,39
19,1.0,55
20,1.0,30
22,1.2170579756444941,142
25,1.0,47
26,1.0,74
28,1.0,57
29,1.0,67
32,1.0,50
33,1.1240147218730305,40
34,1.1227422814752699,81
40,1.0,54
41,1.0,79
43,1.0,62
44,1.0,54
47,1.0,62
48,1.0,67
50,1.0,36
51,1.0,65
54,1.0,119
55,1.0,98
59,1.0,30
60,1.0,30
61,1.0,43
63,1.0,53
64,1.0,45
67,1.0,45
68,1.0,56
71,1.0,80
72,1.0,61
73,1.0,60
74,1.6066307960863546,187
