cluster,modularity,size
6,0.3189028427663806/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,30/99/368/755/926/2125/2312
8,0.15994222733977423/0.3189028427663806/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,38/69/99/368/755/926/2125/2312
9,0.15994222733977423/0.3189028427663806/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,31/69/99/368/755/926/2125/2312
11,9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,73/269/368/755/926/2125/2312
15,2.0040310630577235e-2/2.9309781471776472e-2/2.6128575199607165e-2/9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,37/72/111/196/269/368/755/926/2125/2312
16,2.0040310630577235e-2/2.9309781471776472e-2/2.6128575199607165e-2/9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,35/72/111/196/269/368/755/926/2125/2312
17,2.9309781471776472e-2/2.6128575199607165e-2/9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,39/111/196/269/368/755/926/2125/2312
19,3.659598702857078e-2/2.6128575199607165e-2/9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,55/85/196/269/368/755/926/2125/2312
20,3.659598702857078e-2/2.6128575199607165e-2/9.071816167864806e-2/0.12430322103228235/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,30/85/196/269/368/755/926/2125/2312
22,4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,142/387/755/926/2125/2312
25,2.261230118025434e-2/3.266767690216185e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,47/121/245/387/755/926/2125/2312
26,2.261230118025434e-2/3.266767690216185e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,74/121/245/387/755/926/2125/2312
