node,size,proportion,modularity,composition,subtree
0,2312,11.363636363636363,5.972810594217861e-2,Brain: 0.5627162629757786 (1301)/Heart: 0.43728373702422146 (1011),0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26/27/28/29/30/31/32/33/34/35/36/37/38/39/40/41/42/43/44/45/46/47/48/49/50/51/52/53/54/55/56/57/58/59/60/61/62/63/64/65/66/67/68/69/70/71/72/73/74
1,2125,0.7723102585487907,0.15375766285354642,Brain: 0.5962352941176471 (1267)/Heart: 0.4037647058823529 (858),1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26/27/28/29/30/31/32/33/34/35/36/37/38/39/40/41/42/43/44/45/46/47/48/49/50/51/52/53/54/55/56/57/58/59/60/61/62/63/64/65/66/67/68/69/70/71/72/73
2,926,4.415204678362573,6.924539911661129e-2,Brain: 7.34341252699784e-2 (68)/Heart: 0.9265658747300216 (858),2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26/27/28/29/30/31/32/33/34
3,755,0.9509043927648578,0.10194495128801132,Brain: 8.609271523178808e-2 (65)/Heart: 0.9139072847682119 (690),3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26/27/28/29
4,368,0.3680297397769517,0.12430322103228235,Brain: 0.15760869565217392 (58)/Heart: 0.842391304347826 (310),4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20
5,99,0.43478260869565216,0.3189028427663806,Brain: 0.21212121212121213 (21)/Heart: 0.7878787878787878 (78),5/6/7/8/9
6,30,,,Heart: 1.0 (30),6
7,69,1.2258064516129032,0.15994222733977423,Brain: 0.30434782608695654 (21)/Heart: 0.6956521739130435 (48),7/8/9
8,38,,,Brain: 0.4473684210526316 (17)/Heart: 0.5526315789473685 (21),8
9,31,,,Brain: 0.12903225806451613 (4)/Heart: 0.8709677419354839 (27),9
10,269,0.37244897959183676,9.071816167864806e-2,Brain: 0.137546468401487 (37)/Heart: 0.862453531598513 (232),10/11/12/13/14/15/16/17/18/19/20
11,73,,,Brain: 0.5068493150684932 (37)/Heart: 0.4931506849315068 (36),11
12,196,1.3058823529411765,2.6128575199607165e-2,Heart: 1.0 (196),12/13/14/15/16/17/18/19/20
13,111,1.8461538461538463,2.9309781471776472e-2,Heart: 1.0 (111),13/14/15/16/17
14,72,1.0571428571428572,2.0040310630577235e-2,Heart: 1.0 (72),14/15/16
15,37,,,Heart: 1.0 (37),15
16,35,,,Heart: 1.0 (35),16
17,39,,,Heart: 1.0 (39),17
18,85,1.8333333333333333,3.659598702857078e-2,Heart: 1.0 (85),18/19/20
19,55,,,Heart: 1.0 (55),19
20,30,,,Heart: 1.0 (30),20
21,387,0.5795918367346938,4.3813629562574605e-2,Brain: 1.808785529715762e-2 (7)/Heart: 0.9819121447028424 (380),21/22/23/24/25/26/27/28/29
22,142,,,Brain: 4.929577464788732e-2 (7)/Heart: 0.9507042253521126 (135),22
23,245,0.9758064516129032,3.266767690216185e-2,Heart: 1.0 (245),23/24/25/26/27/28/29
24,121,0.6351351351351351,2.261230118025434e-2,Heart: 1.0 (121),24/25/26
25,47,,,Heart: 1.0 (47),25
26,74,,,Heart: 1.0 (74),26
27,124,0.8507462686567164,2.593978931799021e-2,Heart: 1.0 (124),27/28/29
28,57,,,Heart: 1.0 (57),28
29,67,,,Heart: 1.0 (67),29
30,171,1.1111111111111112,0.4096128761852006,Brain: 1.7543859649122806e-2 (3)/Heart: 0.9824561403508771 (168),30/31/32/33/34
31,90,1.25,0.15881427050680086,Brain: 1.1111111111111112e-2 (1)/Heart: 0.9888888888888889 (89),31/32/33
32,50,,,Heart: 1.0 (50),32
33,40,,,Brain: 2.5e-2 (1)/Heart: 0.975 (39),33
34,81,,,Brain: 2.4691358024691357e-2 (2)/Heart: 0.9753086419753086 (79),34
35,1199,2.9701986754966887,3.0948228789399804e-2,Brain: 1.0 (1199),35/36/37/38/39/40/41/42/43/44/45/46/47/48/49/50/51/52/53/54/55/56/57/58/59/60/61/62/63/64/65/66/67/68/69/70/71/72/73
36,897,1.145933014354067,3.8516221786502464e-2,Brain: 1.0 (897),36/37/38/39/40/41/42/43/44/45/46/47/48/49/50/51/52/53/54/55/56/57/58/59/60/61/62/63/64
37,479,1.0826086956521739,1.795749559691881e-2,Brain: 1.0 (479),37/38/39/40/41/42/43/44/45/46/47/48/49/50/51
38,249,1.146551724137931,8.66090623397986e-3,Brain: 1.0 (249),38/39/40/41/42/43/44
39,133,0.6835443037974683,7.0073062495815686e-3,Brain: 1.0 (133),39/40/41
40,54,,,Brain: 1.0 (54),40
41,79,,,Brain: 1.0 (79),41
42,116,1.1481481481481481,5.558517795733381e-3,Brain: 1.0 (116),42/43/44
43,62,,,Brain: 1.0 (62),43
44,54,,,Brain: 1.0 (54),44
45,230,1.2772277227722773,6.701699831279995e-3,Brain: 1.0 (230),45/46/47/48/49/50/51
46,129,0.9253731343283582,4.356861536847556e-3,Brain: 1.0 (129),46/47/48
47,62,,,Brain: 1.0 (62),47
48,67,,,Brain: 1.0 (67),48
49,101,0.5538461538461539,4.87288234415062e-3,Brain: 1.0 (101),49/50/51
50,36,,,Brain: 1.0 (36),50
51,65,,,Brain: 1.0 (65),51
52,418,1.0796019900497513,5.4767106281471245e-2,Brain: 1.0 (418),52/53/54/55/56/57/58/59/60/61/62/63/64
53,217,1.2142857142857142,3.9304492683655434e-2,Brain: 1.0 (217),53/54/55
54,119,,,Brain: 1.0 (119),54
55,98,,,Brain: 1.0 (98),55
56,201,1.0510204081632653,4.186715594730814e-2,Brain: 1.0 (201),56/57/58/59/60/61/62/63/64
57,103,1.3953488372093024,5.388077370517433e-2,Brain: 1.0 (103),57/58/59/60/61
58,60,1.0,1.6369316211455626e-2,Brain: 1.0 (60),58/59/60
59,30,,,Brain: 1.0 (30),59
60,30,,,Brain: 1.0 (30),60
61,43,,,Brain: 1.0 (43),61
62,98,1.1777777777777778,2.4097319697310354e-2,Brain: 1.0 (98),62/63/64
63,53,,,Brain: 1.0 (53),63
64,45,,,Brain: 1.0 (45),64
65,302,0.5024875621890548,9.555569867707411e-2,Brain: 1.0 (302),65/66/67/68/69/70/71/72/73
66,101,0.8035714285714286,7.275304461355706e-2,Brain: 1.0 (101),66/67/68
67,45,,,Brain: 1.0 (45),67
68,56,,,Brain: 1.0 (56),68
69,201,2.35,3.1447923725329285e-2,Brain: 1.0 (201),69/70/71/72/73
70,141,1.3114754098360655,2.933705203054468e-2,Brain: 1.0 (141),70/71/72
71,80,,,Brain: 1.0 (80),71
72,61,,,Brain: 1.0 (61),72
73,60,,,Brain: 1.0 (60),73
74,187,,,Brain: 0.18181818181818182 (34)/Heart: 0.8181818181818182 (153),74
